B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)",I paid $42 for these (each) and bought 4 sets.  They are OK for the money.  Decent quality but the plastic lifting handle will probably break off some time soon.,Y,N,,,
B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)",Deliver fast. Strong as heck and been holding a very heavy shaper for long time now wheels still holding up and been rolled across the shop countless times.,Y,N,,,
B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)",Assembly is straight forward and simple. Fasteners included are pretty good and overall quality is good. The plastic elevator levers may be a future problem but only time will tell.,Y,N,,,
B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)",Well-constructed easy to tailor size to the machine looks like it will last... used it to make my bandsaw mobile.,Y,N,,,
B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)","This is my second mobile base of this model; after the first one there was no question I'd buy HTC again.  This one is for a Grizzly Hybrid saw while the other is holding my router table/stand.It looks like some of the other mobile bases do not have the easy kick stands which would be a huge detriment especially since I'll sometimes move my machines around more than once in a day.  The back wheels are fixed so turning to get into a tight space might take a couple of tries but no big deal.  If your floor is very imperfect or it slopes because of a drain you might find it annoying to have to change the leveling feet every time you try out a new space.  However if you have one place where you work and one place where you store the machine this won't be an issue.For my router stand I made a rectangle that was larger in one dimension than the product description said would work for the ""max rectangle"" but it was close enough to a square that it still worked just fine - it's just that if you are too large in one direction you use up the extra supports so that they are not available in the other direction.  After not needing some extra brackets for the table saw rig I could probably put them toward a larger rectangle on the next machine although I would not want to go all the way up to the max weight rating in that case.Oh the holes lined up correctly with the two factory holes in my Grizzly 715P.",Y,N,,,
B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)",I purchased this base for a Grizzly bandsaw.  I thought the ease of installation was OK.  Make sure to measure you machine before assembly.  It is too much of a pain to take apart again.  Did have one problem with plastic foot lever cracking after a few weeks of use.  HTC customer service was great and immediately sent another one.  Apparently this is a common issue.  Otherwise the base works expected.,Y,N,,,
B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)",I have used these before and they work well. I have my Grizzlt G0555 band saw on one and now I have my medal lathe and stand mounted on one. They are made that you can make them fit just about any large shop tool that you may want to make easy to move. The lathe is a 10x20 lathe and base. It has to be close to the load limit. I use it to move it all the time with no problem. I just ordered another one for my old 17 inch Rockwell drill press and stand.,Y,N,,,
B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)","I purchased two of these mobile bases based on the reviews. All of my major tools are on wheels due to my workshop being in my garage.I have tried several different bases ranging from the bases that are designed for a specific tool to those by Delta that required wood runners for the sizing.After reading the reviews I gave this base a try. I am very glad that I did. These items arrived in great condition and all of the parts included. The final product when assembled is very sturdy and moves smoothly over my uneven floor. For space saving and toe stubbing I chose to must the riser handles to the inside of the bases and it works just fine. The size adjustment makes it user friendly to numerous tool footprints.The tools I have used them for include an 8"" jointer and a 17"" band saw. The weight has not been an issue with either tool. Even though the band saw is 6' tall it is still very stable.The price on this base is very competitive and I would recommend it to anyone who needs a mobile base.",Y,N,,,
B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)",I used this for my new Grizzly bandsaw and it really is great.  Saw has to weigh 200+ pounds and it moves around on this easily.  Very adjustable if you decide to use it for something else.  No complaints here.,Y,N,,,
B00002262M,"Has anyone ever tried to drill into this base to secure a machine to it better? (Grizzly 17"" bandsaw)",I got a new Drill Press and wanted a stand to put it on so I could move it around the shop. This worked great. Fairly easy to assemble and works great. Note my drill press base did not align with the holes. You may need a piece of plywood or something to create our own base if you need to secure it.,Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,it does fog,Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,I've only used them briefly but they are certainly comfortable. They didn't fog in my basement workshop which is at 76 degrees 55% humidity. They are a little hard to put on over my small prescription glasses but grabbing the sides and pulling out while putting them on usually works and my glasses just ride a little high on my nose.Recommended but gave them 4 stars because they're made by our frenemy China.,Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,I love the google I bought them when I work with plaster and sheetrock since I have alergy on it. My eyes burned when I worked in dust but not anymore.,Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,High quality as you would expect in a Dewalt product.  Well ventilated so you get no fogging of the lens. Easy to adjust for just the right fit. I bought a second set for a friend.,Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,"I am writing to say that I appreciate these goggles but would suggest that you consider other options as well.I have some experience to support my thoughts.  As a lab rat of several years (decades?) standing with fairly high-level medical training I have personally tried a number of eye protection schemes.  Many but not all of them have been involved in low level radiation and biohazard protection which is most often less serious than metal or woodworking hazards.The possible solutions fall into three major categories:  1)  plastic ""glasses"" for people who wear no eye correction or who wear contacts 2)  goggles (like the DeWalt model here) and 3)  full face shields.The primary consideration is whether the protection is something you will actually wear.  You simply do not know until you try good examples of all three classes what actually works for you.  So if you are serious about preserving your vision just suck it up and be willing (if you're unhappy with  the first option you pick) to try more than one.The options for people without optically correcting glasses of their own include all three schemes.  While polycarbonate ""glasses"" with side protectors are good for major chips or particles they allow a fair amount of dust to pass near your eyes.  That will be mostly irritating but not hugely dangerous for exposures of minutes to hours.  Goggles like the DeWalt's are better as long as you wear them and they don't fog.  I find this set to be a pretty good (comfortable and dust-reducing) solution.  Full face masks are better protection against large chips but still allow a fair amount of dust by your eyes.If you wear full-frame glasses my experience suggests that full face mask solutions are often the most workable.  Most polycarbonate  ""glasses-like"" solutions that fit over your real glasses tend to knock your real ones out of place easily:  that pretty much ends the experiment.  Goggles with a fair amount of room under them like these DeWalt's can be good but are still a bit troublesome.  This set tends to fog fairly little compared to others I've tried and only knocks your real glasses out of place a bit when you take them on and off.  I would rate them as very good compared to most of the competition.  However that's still enough to make me wear them less than I should.  As I write this I'm waiting for a goofy looking full-face shield that I know from work experience is best for me.YMMV but please spend the time now to fix the problem for the next few years...you'll really like being able to see your friends and family not just your work.",Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,Fit well over my prescription glasses and feel comfortable.Great protection for the price.I would recommend for any home workshop.,Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,I had to use this for my scenic construction class really good material have dropped multiple times getting just small scratches. The expandable band is comfortable and easily adjustable. I would not suggest these if you have a wide big head like me. Plus if you do need to where glasses like me you would really only be able to use these goggles if you have thin reading glasses not the big thick framed DG glasses. I had to use my old thin framed glasses which also doesn't help to the already big head thing because if you have a wide face then you would have to pull the headband reeeeaaaallly tight! Tight because if you're working around a wood shop you obviously don't want dust flying into your eyes(happened twice) and then taking off both glasses & goggles just to get that darn chip out of your eye. I admit I never really wore them tight and after just an hour I would have deep red lines on the side of my eyes. I really still like them would use again especially after having a Medium Crown staple shot at me @ 100psi by accident thankfully hitting my leg not face. Protection ladies and gentlemen.,Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,They fit nicely.  They fit well over prescription glasses.  Now if they wouldn't fog up I could see with them.  The day was much less than 80 degrees and they fogged a lot but they might work well on cool days.If I had known they would fog I would have tried a different product so I'm adding this comment for others.,Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,It it hard to believe Dewalt would market these goggle as anti-fog. They actually seem worse than cheaper alternatives. Other than a terrible fogging tendancy the only other chacteristic that stands out is they are quite comfortable. Probable the most comfortable i have ever tried -- including ski swimming motorcycle lab etc.In my experience the only goggles that are truly anti-fog are double layer ski goggles. You can find these in clear at various sporting goods outlets.,Y,N,,,
B000RKQ1NI,Would these goggles be fit for a Chemistry Lab?,Much better than plain old lab goggles. I've never had these fog up on me and they fit nice and snug and are comfortable to wear.,Y,Y,,,
B003QKS4Z4,Does this gizmo work with LED lamps? Phillips LED lightbuld in particular.,works great once adjusted.  Required some adjusting of &#34;on&#34; beam on install but after that worked perfectly and avoids the hard to reach switch now.  Wish they were cheaper I'd buy several more!,Y,N,,,
B003QKS4Z4,Does this gizmo work with LED lamps? Phillips LED lightbuld in particular.,I have four of these.  They have been running flawlessly for about 4 months.  I don't have to worry about anyone leaving the lights on -- very handy devices.  Sensitivity works fine.  Nice product.,Y,N,,,
B003QKS4Z4,Does this gizmo work with LED lamps? Phillips LED lightbuld in particular.,Pros: actually get's a 360 rangeCons: not sensitive to waveing at greater than 5ft range it seems.Overall: I like it. I thought it was a good buy for the price.,Y,N,,,
